Plant_Description,Line_Description,ModifiedBy,ModifiedDate
Assembly Plant DE (Old),,,
Assembly Plant DE (Old),Assembly Plant DE Line 2,Stephanie Manning,2019-09-08
Assembly Plant DE (Old),Assembly Plant DE Line 3,David Wright,2025-08-23
Assembly Plant DE (Old),Assembly Plant DE Line 4,Pamela Boyd,2025-05-04
Assembly Plant DE (Old),L05,Denise Jones,2019-04-20
Assembly Plant DE (Old),Assembly Plant DE Line 6,,
Assembly Plant DE (Old),Assembly Plant DE Line 7,Devon Flores,2021-10-25
Assembly Plant DE (Old),Assembly Plant DE Line 8,,
Assembly Plant DE (Old),Assembly Plant DE Line 9,Brenda Hall,2019-01-09
Assembly Plant DE (Old),,Michelle Brown,2025-05-28
Assembly Plant DE (Old),,,
Assembly Plant DE (Old),Assembly Plant DE Line 12,Joshua Perry,2022-02-25
Assembly Plant DE (Old),Assembly Plant DE Line 13,Jason Stein,2019-07-17
Assembly Plant DE (Old),Assembly Plant DE Line 14,Melissa Gates,2020-09-25
Assembly Plant DE (Old),Assembly Plant DE Line 15,Jamie Smith,2024-04-16
Assembly Plant DE (Old),Assembly Plant DE Line 16,Paul Castaneda,2025-04-27
Assembly Plant DE (Old),Assembly Plant DE Line 17,Jennifer Adkins,2022-04-24
Assembly Plant DE (Old),Assembly Plant DE Line 18,,
Assembly Plant DE (Old),,Lindsey Walker,2025-02-25
Assembly Plant DE (Old),Assembly Plant DE Line 20,Jeffrey Johnson,2019-05-05
Assembly Plant DE (Old),Assembly Plant DE Line 21,,
Assembly Plant DE (Old),Assembly Plant DE Line 22,Michael Powell,2020-03-03
Assembly Plant DE (Old),Assembly Plant DE Line 23,John Anderson,2023-12-20
Assembly Plant DE (Old),Assembly Plant DE Line 24,Alyssa Long,2022-10-15
Assembly Plant DE (Old),Assembly Plant DE Line 25,,
Assembly Plant DE (Old),Assembly Plant DE Line 26,Alyssa Day,2024-07-22
Assembly Plant DE (Old),Assembly Plant DE Line 27,Joel Williams,2020-06-13
Assembly Plant DE (Old),Assembly Plant DE Line 28,Daniel Murphy,2025-12-28
Assembly Plant DE (Old),Assembly Plant DE Line 29,Jamie Walton,2019-01-18
Assembly Plant DE (Old),L30,Darlene Miller,2024-06-12
Assembly Plant DE (Old),Assembly Plant DE Line 31,Joshua Cooke,2020-12-02
Assembly Plant DE (Old),Assembly Plant DE Line 32,Matthew Harrington,2019-12-31
Assembly Plant DE (Old),,Nicole Herring,2024-12-14
Assembly Plant DE (Old),Assembly Plant DE Line 34,Alex Hernandez,2019-11-14
Assembly Plant DE (Old),Assembly Plant DE Line 35,Michael Elliott,2019-05-31
Assembly Plant DE (Old),,Michael Wang,2023-09-06
Assembly Plant DE (Old),,,
Assembly Plant DE (Old),Assembly Plant DE Line 38,Lawrence Adkins,2025-01-03
Assembly Plant DE (Old),Assembly Plant DE Line 39,Robert Oconnell,2025-06-16
Assembly Plant DE (Old),Assembly Plant DE Line 40,Alexander Collins,2024-01-29
Assembly Plant DE (Old),Assembly Plant DE Line 41,Tina Sanders,2025-02-22
Assembly Plant DE (Old),Assembly Plant DE Line 42,,
Assembly Plant DE (Old),Assembly Plant DE Line 43,,
Assembly Plant DE (Old),Assembly Plant DE Line 44,Angela Vaughn,2021-10-28
Assembly Plant DE (Old),Assembly Plant DE Line 45,Ashley Barton,2019-05-22
Assembly Plant DE (Old),Assembly Plant DE Line 46,,
Assembly Plant DE (Old),Assembly Plant DE Line 47,Lindsay Martinez,2025-07-27
Assembly Plant DE (Old),L48,Dr. Hannah Patterson,2024-12-19
Assembly Plant DE (Old),Assembly Plant DE Line 49,Jonathan Peterson,2023-06-25
Assembly Plant DE (Old),Assembly Plant DE Line 50,Samantha Garcia,2020-12-24
Assembly Plant DE (Old),Assembly Plant DE Line 51,Madison Poole,2020-03-14
Assembly Plant DE (Old),Assembly Plant DE Line 52,Jessica Gross,2024-12-05
Assembly Plant DE (Old),Assembly Plant DE Line 53,,
Assembly Plant DE (Old),Assembly Plant DE Line 54,Debra Morton,2023-02-16
Assembly Plant DE (Old),Assembly Plant DE Line 55,Karen Graham,2022-06-19
Assembly Plant DE (Old),Assembly Plant DE Line 56,Debra Christian,2020-02-01
Assembly Plant DE (Old),Assembly Plant DE Line 57,,
Assembly Plant DE (Old),Assembly Plant DE Line 58,,
Assembly Plant DE (Old),Assembly Plant DE Line 59,Angelica Keith,2024-06-21
Assembly Plant DE (Old),Assembly Plant DE Line 60,John Bishop,2025-12-10
Assembly Plant DE (Old),Assembly Plant DE Line 61,Allen Rosales,2020-02-02
Assembly Plant DE (Old),Assembly Plant DE Line 62,Daniel Salinas,2022-03-12
Assembly Plant DE (Old),Assembly Plant DE Line 63,Spencer Haynes,2019-09-16
Assembly Plant DE (Old),Assembly Plant DE Line 64,Adam Vaughan,2019-10-16
Assembly Plant DE (Old),Assembly Plant DE Line 65,Nathan Freeman,2025-09-29
Assembly Plant DE (Old),Assembly Plant DE Line 66,,
Assembly Plant DE (Old),Assembly Plant DE Line 67,,
Assembly Plant DE (Old),,Melissa Brewer,2020-12-23
Assembly Plant DE (Old),Assembly Plant DE Line 69,,
Assembly Plant DE (Old),,Ricky Davis II,2020-03-28
Assembly Plant DE (Old),,Elizabeth Perkins,2024-06-21
Assembly Plant DE (Old),Assembly Plant DE Line 72,Joseph Coleman,2019-10-12
Assembly Plant DE (Old),Assembly Plant DE Line 73,Erin Warner,2021-01-30
Assembly Plant DE (Old),Assembly Plant DE Line 74,David Martinez,2022-12-18
Assembly Plant DE (Old),Assembly Plant DE Line 75,Bryan Herrera,2023-07-29
Assembly Plant DE (Old),Assembly Plant DE Line 76,Cathy Robinson,2020-12-03
Assembly Plant DE (Old),Assembly Plant DE Line 77,,
Assembly Plant DE (Old),Assembly Plant DE Line 78,,
Assembly Plant DE (Old),,Dr. William Warren,2024-03-09
Assembly Plant DE (Old),Assembly Plant DE Line 80,Brian Lee,2020-09-15
Assembly Plant DE (Old),Assembly Plant DE Line 81,,
Assembly Plant DE (Old),Assembly Plant DE Line 82,Christopher Smith,2022-08-14
Assembly Plant DE (Old),Assembly Plant DE Line 83,Denise Mccann,2022-07-18
Assembly Plant DE (Old),Assembly Plant DE Line 84,Melissa Martinez,2023-12-25
Assembly Plant DE (Old),Assembly Plant DE Line 85,Katherine Salas,2021-12-31
