PlantName,LineName,LastUpdatedBy,LastUpdatedDate
Assembly Plant IN,Assembly Plant IN Line 1,,
Assembly Plant IN,Assembly Plant IN Line 2,,
Assembly Plant IN,L03,,
Assembly Plant IN,L04,Julie Alexander,2023-01-10
Assembly Plant IN,Assembly Plant IN Line 5,Anthony Everett,2019-11-06
Assembly Plant IN,L06,Rodney Morales,2025-01-07
Assembly Plant IN,Assembly Plant IN Line 7,,
Assembly Plant IN,Assembly Plant IN Line 8,Mark Brown,2019-07-22
Assembly Plant IN,Assembly Plant IN Line 9,Justin Torres,2021-11-29
Assembly Plant IN,,Bailey Duran DDS,2020-11-18
Assembly Plant IN,L11,Courtney Mills,2021-06-16
Assembly Plant IN,Assembly Plant IN Line 12,,
Assembly Plant IN,Assembly Plant IN Line 13,,
Assembly Plant IN,L14,Jeremy Dalton,2025-08-29
Assembly Plant IN,Assembly Plant IN Line 15,,
Assembly Plant IN,Assembly Plant IN Line 16,Elizabeth Oliver DDS,2025-04-01
Assembly Plant IN,Assembly Plant IN Line 17,Theresa Clark,2023-10-24
Assembly Plant IN,Assembly Plant IN Line 18,Matthew Moore,2022-03-29
Assembly Plant IN,Assembly Plant IN Line 19,Benjamin Smith,2025-10-06
Assembly Plant IN,Assembly Plant IN Line 20,Kirk Carter,2024-10-12
Assembly Plant IN,Assembly Plant IN Line 21,Michael Warner,2021-03-29
Assembly Plant IN,Assembly Plant IN Line 22,Michael Bradshaw,2019-11-26
Assembly Plant IN,Assembly Plant IN Line 23,,
Assembly Plant IN,L24,,
Assembly Plant IN,Assembly Plant IN Line 25,,
Assembly Plant IN,Assembly Plant IN Line 26,Lori Guerrero,2021-05-28
Assembly Plant IN,L27,Jessica Stephens,2023-07-10
Assembly Plant IN,L28,Susan Serrano,2022-05-02
Assembly Plant IN,Assembly Plant IN Line 29,Christopher Parker,2022-11-09
Assembly Plant IN,Assembly Plant IN Line 30,,
Assembly Plant IN,Assembly Plant IN Line 31,Laura Roberts,2025-02-20
Assembly Plant IN,Assembly Plant IN Line 32,Michael Lyons,2019-11-27
Assembly Plant IN,Assembly Plant IN Line 33,Kathryn Snyder,2019-02-25
Assembly Plant IN,Assembly Plant IN Line 34,Andrew Reynolds,2023-10-28
Assembly Plant IN,Assembly Plant IN Line 35,David Davis,2023-08-19
Assembly Plant IN,L36,Sara Johnston,2020-11-07
Assembly Plant IN,L37,Yvonne Chambers,2020-03-16
Assembly Plant IN,Assembly Plant IN Line 38,Andrew Avila,2024-04-14
