PlantName,LineName,LastUpdatedBy,LastUpdatedDate
BIW/Welding Plant DE,Biw/Welding Plant De Line 1,Denise Jacobs,2024-02-02
BIW/Welding Plant DE,Biw/Welding Plant De Line 2,Christina Walters,2019-04-05
BIW/Welding Plant DE,Biw/Welding Plant De Line 3,John Whitehead,2020-11-10
BIW/Welding Plant DE,Biw/Welding Plant De Line 4,Anna Henderson,2022-05-12
BIW/Welding Plant DE,Biw/Welding Plant De Line 5,Aaron Wise,2023-09-17
BIW/Welding Plant DE,L06,,
BIW/Welding Plant DE,Biw/Welding Plant De Line 7,Deborah Figueroa,2022-09-22
BIW/Welding Plant DE,Biw/Welding Plant De Line 8,Jessica Smith,2025-10-21
BIW/Welding Plant DE,Biw/Welding Plant De Line 9,,
BIW/Welding Plant DE,Biw/Welding Plant De Line 10,Stephen Mckee,2022-03-31
BIW/Welding Plant DE,,Sandra Aguilar,2025-10-03
BIW/Welding Plant DE,Biw/Welding Plant De Line 12,Cameron Parker,2022-12-06
BIW/Welding Plant DE,Biw/Welding Plant De Line 13,Rebecca Valencia,2021-05-02
BIW/Welding Plant DE,Biw/Welding Plant De Line 14,Christine Wright,2019-03-03
BIW/Welding Plant DE,Biw/Welding Plant De Line 15,Richard Henson,2020-01-02
BIW/Welding Plant DE,Biw/Welding Plant De Line 16,Marc Moore,2020-01-07
BIW/Welding Plant DE,Biw/Welding Plant De Line 17,Sharon Cherry,2025-08-29
BIW/Welding Plant DE,L18,Sierra Johnson,2025-04-06
BIW/Welding Plant DE,L19,Evelyn Galvan,2022-06-22
BIW/Welding Plant DE,Biw/Welding Plant De Line 20,Sharon Cochran,2020-03-20
BIW/Welding Plant DE,Biw/Welding Plant De Line 21,Richard Rodriguez,2025-02-16
BIW/Welding Plant DE,Biw/Welding Plant De Line 22,Shannon Walker,2023-12-28
BIW/Welding Plant DE,Biw/Welding Plant De Line 23,Julia Torres,2024-07-16
BIW/Welding Plant DE,Biw/Welding Plant De Line 24,Crystal Johnson,2025-12-06
BIW/Welding Plant DE,Biw/Welding Plant De Line 25,,
BIW/Welding Plant DE,Biw/Welding Plant De Line 26,Garrett Lin,2024-03-03
BIW/Welding Plant DE,Biw/Welding Plant De Line 27,Diana May,2021-03-07
BIW/Welding Plant DE,Biw/Welding Plant De Line 28,William Herrera,2025-06-02
BIW/Welding Plant DE,Biw/Welding Plant De Line 29,,
BIW/Welding Plant DE,Biw/Welding Plant De Line 30,Ashley Waller,2020-11-25
BIW/Welding Plant DE,Biw/Welding Plant De Line 31,Victor Baker,2023-07-05
BIW/Welding Plant DE,Biw/Welding Plant De Line 32,Jeffrey Chandler,2022-05-27
BIW/Welding Plant DE,Biw/Welding Plant De Line 33,Larry Dixon,2019-12-16
BIW/Welding Plant DE,Biw/Welding Plant De Line 34,,
BIW/Welding Plant DE,L35,Kenneth Scott,2019-12-26
BIW/Welding Plant DE,Biw/Welding Plant De Line 36,April Frost,2021-10-18
BIW/Welding Plant DE,Biw/Welding Plant De Line 37,Michelle Harmon,2022-09-13
BIW/Welding Plant DE,Biw/Welding Plant De Line 38,Helen Jones,2019-03-31
